운행일자,정산사ID,가상카드번호,정산지역코드,카드구분코드,정산사차량ID,교통수단코드,정산사노선ID,승차일시,정산사승차정류장ID,하차일시,정산사하차정류장ID,트랜잭션ID,환승건수,이용자유형코드(시스템),이용자수,이용거리,탑승시간
20240101,03,100035000000,MM101,C,143700000,2,43700000,20240101060000,STOP0004,20240101063000,STOP0009,000,0,02,1,14322,58
20240101,03,100035000001,MM101,C,143700001,2,43700001,20240101070000,STOP0005,20240101073000,STOP0014,001,1,01,1,2469,18
20240101,03,100035000002,MM101,C,143700002,1,43700002,20240101080000,STOP0009,20240101083000,STOP0002,002,1,02,1,5725,40
20240101,03,100035000003,MM101,C,143700003,1,43700003,20240101090000,STOP0007,20240101093000,STOP0005,003,2,04,1,5259,22
20240101,03,100035000004,MM101,C,143700004,2,43700004,20240101100000,STOP0013,20240101103000,STOP0011,004,0,01,1,4622,51
20240101,03,100035000005,MM101,C,143700005,2,43700005,20240101110000,STOP0002,20240101113000,STOP0014,005,1,02,1,11292,45
20240101,03,100035000006,MM101,C,143700006,2,43700006,20240101120000,STOP0011,20240101123000,STOP0005,006,1,03,1,18207,22
20240101,03,100035000007,MM101,C,143700007,2,43700007,20240101130000,STOP0015,20240101133000,STOP0012,007,1,04,1,4431,7
20240101,03,100035000008,MM101,C,143700008,2,43700008,20240101140000,STOP0016,20240101143000,STOP0018,008,0,02,1,23912,14
20240101,03,100035000009,MM101,C,143700009,2,43700009,20240101150000,STOP0000,20240101153000,STOP0002,009,2,01,1,5151,53
20240101,03,100035000010,MM101,C,143700010,2,43700010,20240101160000,STOP0009,20240101163000,STOP0007,010,1,02,1,5213,43
20240101,03,100035000011,MM101,C,143700011,2,43700011,20240101170000,STOP0009,20240101173000,STOP0007,011,0,04,1,16235,51
20240101,03,100035000012,MM101,C,143700012,1,43700012,20240101180000,STOP0001,20240101183000,STOP0019,012,1,01,1,24804,5
20240101,03,100035000013,MM101,C,143700013,1,43700013,20240101190000,STOP0008,20240101193000,STOP0014,013,1,04,1,9989,31
20240101,03,100035000014,MM101,C,143700014,1,43700014,20240101200000,STOP0012,20240101203000,STOP0003,014,2,02,1,1779,31
20240101,03,100035000015,MM101,C,143700015,1,43700015,20240101210000,STOP0015,20240101213000,STOP0018,015,1,03,1,16351,15
20240101,03,100035000016,MM101,C,143700016,1,43700016,20240101220000,STOP0017,20240101223000,STOP0002,016,1,03,1,12042,53
20240101,03,100035000017,MM101,C,143700017,1,43700017,20240101230000,STOP0018,20240101233000,STOP0012,017,0,02,1,20276,9
20240101,03,100035000018,MM101,C,143700018,2,43700018,20240102000000,STOP0011,20240102003000,STOP0007,018,0,02,1,6534,11
20240101,03,100035000019,MM101,C,143700019,2,43700019,20240102010000,STOP0007,20240102013000,STOP0015,019,2,02,1,4306,23
20240101,03,100035000020,MM101,C,143700020,1,43700020,20240102020000,STOP0016,20240102023000,STOP0012,020,0,01,1,3902,33
20240101,03,100035000021,MM101,C,143700021,1,43700021,20240102030000,STOP0014,20240102033000,STOP0002,021,0,04,1,14391,19
20240101,03,100035000022,MM101,C,143700022,2,43700022,20240102040000,STOP0009,20240102043000,STOP0015,022,2,04,1,4718,39
20240101,03,100035000023,MM101,C,143700023,2,43700023,20240102050000,STOP0014,20240102053000,STOP0008,023,1,04,1,1021,51
20240102,03,100035000024,MM101,C,143700024,2,43700024,20240102060000,STOP0014,20240102063000,STOP0013,024,2,02,1,2500,41
20240102,03,100035000025,MM101,C,143700025,1,43700025,20240102070000,STOP0006,20240102073000,STOP0012,025,0,04,1,10034,59
20240102,03,100035000026,MM101,C,143700026,2,43700026,20240102080000,STOP0012,20240102083000,STOP0006,026,2,02,1,16799,16
20240102,03,100035000027,MM101,C,143700027,1,43700027,20240102090000,STOP0016,20240102093000,STOP0014,027,1,01,1,4641,34
20240102,03,100035000028,MM101,C,143700028,1,43700028,20240102100000,STOP0008,20240102103000,STOP0006,028,2,03,1,22596,24
20240102,03,100035000029,MM101,C,143700029,2,43700029,20240102110000,STOP0007,20240102113000,STOP0005,029,0,02,1,1191,41
20240102,03,100035000030,MM101,C,143700030,2,43700030,20240102120000,STOP0019,20240102123000,STOP0001,030,0,02,1,14306,7
20240102,03,100035000031,MM101,C,143700031,1,43700031,20240102130000,STOP0017,20240102133000,STOP0008,031,2,03,1,14414,13
20240102,03,100035000032,MM101,C,143700032,2,43700032,20240102140000,STOP0012,20240102143000,STOP0016,032,1,03,1,9587,45
20240102,03,100035000033,MM101,C,143700033,2,43700033,20240102150000,STOP0015,20240102153000,STOP0004,033,2,01,1,24558,43
20240102,03,100035000034,MM101,C,143700034,1,43700034,20240102160000,STOP0008,20240102163000,STOP0011,034,1,04,1,22498,30
20240102,03,100035000035,MM101,C,143700035,2,43700035,20240102170000,STOP0011,20240102173000,STOP0000,035,1,02,1,5662,6
20240102,03,100035000036,MM101,C,143700036,1,43700036,20240102180000,STOP0011,20240102183000,STOP0009,036,2,04,1,5326,27
20240102,03,100035000037,MM101,C,143700037,1,43700037,20240102190000,STOP0005,20240102193000,STOP0010,037,1,02,1,10065,27
20240102,03,100035000038,MM101,C,143700038,2,43700038,20240102200000,STOP0018,20240102203000,STOP0015,038,0,01,1,21719,25
20240102,03,100035000039,MM101,C,143700039,1,43700039,20240102210000,STOP0006,20240102213000,STOP0013,039,2,03,1,11471,20
20240102,03,100035000040,MM101,C,143700040,1,43700040,20240102220000,STOP0002,20240102223000,STOP0007,040,1,01,1,13641,13
20240102,03,100035000041,MM101,C,143700041,2,43700041,20240102230000,STOP0015,20240102233000,STOP0016,041,0,03,1,10196,17
20240102,03,100035000042,MM101,C,143700042,2,43700042,20240103000000,STOP0017,20240103003000,STOP0017,042,2,04,1,13726,32
20240102,03,100035000043,MM101,C,143700043,2,43700043,20240103010000,STOP0015,20240103013000,STOP0011,043,0,04,1,22878,31
20240102,03,100035000044,MM101,C,143700044,1,43700044,20240103020000,STOP0006,20240103023000,STOP0016,044,0,01,1,16651,55
20240102,03,100035000045,MM101,C,143700045,1,43700045,20240103030000,STOP0003,20240103033000,STOP0013,045,0,03,1,9536,56
20240102,03,100035000046,MM101,C,143700046,2,43700046,20240103040000,STOP0007,20240103043000,STOP0015,046,1,01,1,20095,21
20240102,03,100035000047,MM101,C,143700047,1,43700047,20240103050000,STOP0012,20240103053000,STOP0013,047,2,03,1,24979,42
20240103,03,100035000048,MM101,C,143700048,2,43700048,20240103060000,STOP0012,20240103063000,STOP0008,048,2,03,1,13944,40
20240103,03,100035000049,MM101,C,143700049,2,43700049,20240103070000,STOP0016,20240103073000,STOP0003,049,1,04,1,7273,5
20240103,03,100035000050,MM101,C,143700050,1,43700050,20240103080000,STOP0016,20240103083000,STOP0010,050,2,04,1,7284,22
20240103,03,100035000051,MM101,C,143700051,2,43700051,20240103090000,STOP0004,20240103093000,STOP0005,051,0,03,1,9817,55
20240103,03,100035000052,MM101,C,143700052,1,43700052,20240103100000,STOP0005,20240103103000,STOP0014,052,2,03,1,21378,13
20240103,03,100035000053,MM101,C,143700053,1,43700053,20240103110000,STOP0018,20240103113000,STOP0004,053,1,03,1,19062,17
20240103,03,100035000054,MM101,C,143700054,2,43700054,20240103120000,STOP0012,20240103123000,STOP0010,054,0,04,1,9414,44
20240103,03,100035000055,MM101,C,143700055,1,43700055,20240103130000,STOP0013,20240103133000,STOP0017,055,1,04,1,18127,59
20240103,03,100035000056,MM101,C,143700056,2,43700056,20240103140000,STOP0003,20240103143000,STOP0012,056,0,02,1,17846,49
20240103,03,100035000057,MM101,C,143700057,1,43700057,20240103150000,STOP0006,20240103153000,STOP0010,057,0,03,1,18952,19
20240103,03,100035000058,MM101,C,143700058,1,43700058,20240103160000,STOP0007,20240103163000,STOP0013,058,2,02,1,12539,47
20240103,03,100035000059,MM101,C,143700059,1,43700059,20240103170000,STOP0012,20240103173000,STOP0017,059,0,03,1,14993,48
20240103,03,100035000060,MM101,C,143700060,2,43700060,20240103180000,STOP0005,20240103183000,STOP0018,060,1,04,1,14451,50
20240103,03,100035000061,MM101,C,143700061,1,43700061,20240103190000,STOP0005,20240103193000,STOP0014,061,2,02,1,15692,8
20240103,03,100035000062,MM101,C,143700062,2,43700062,20240103200000,STOP0002,20240103203000,STOP0008,062,1,02,1,19120,37
