매출_일련번호,매출년월,시간대_G2,매출금액,연령대_10세,성별,추정라이프스테이지,추정직업군,추정연소득구간,페르소나_1인가구_등급,페르소나_1인가구_스코어,페르소나_액티브시니어_등급,페르소나_액티브시니어_스코어,페르소나_반려동물보유_등급,페르소나_반려동물보유_스코어,페르소나_온라인쇼핑_등급,페르소나_온라인쇼핑_스코어,페르소나_건강관심_등급,페르소나_건강관심_스코어,페르소나_자녀교육관심_등급,페르소나_자녀교육관심_스코어,페르소나_문화활동관심_등급,페르소나_문화활동관심_스코어,페르소나_프리미엄소비_등급,페르소나_프리미엄소비_스코어,페르소나_가격민감_등급,페르소나_가격민감_스코어,페르소나_얼리어답터_등급,페르소나_얼리어답터_스코어,페르소나_아웃도어활동관심_등급,페르소나_아웃도어활동관심_스코어,페르소나_국내여행관심_등급,페르소나_국내여행관심_스코어,페르소나_해외여행관심_등급,페르소나_해외여행관심_스코어,페르소나_배달식선호_등급,페르소나_배달식선호_스코어,페르소나_간편식선호_등급,페르소나_간편식선호_스코어,페르소나_밀키트선호_등급,페르소나_밀키트선호_스코어,개인신용판매_이용금액_등급,주점업종_이용금액_등급,주류판매점업종_이용금액_등급,제과아이스크림업종_이용금액_등급,커피음료업종_이용금액_등급,한식업종_이용금액_등급,일식업종_이용금액_등급,중식업종_이용금액_등급,양식업종_이용금액_등급,부페업종_이용금액_등급,패스트푸드업종_이용금액_등급,간이음식점업종_이용금액_등급,할인점업종_이용금액_등급,마트업종_이용금액_등급,백화점업종_이용금액_등급,편의점업종_이용금액_등급,배달앱업종_이용금액_등급,현금서비스사용여부,가맹점_소재_광역시도,가맹점_소재_시군구,가맹점_소재_행정동,가맹점_지역_상권유형_(추정),매출발생요일,매출발생일_휴일여부,점포번호,포스번호,매출번호,구매수량,제품코드,제품코드명,제품금액,제품수량,제품대분류코드,제품대분류코드명,제품중분류코드,제품중분류코드명,제품소분류코드,제품소분류코드명
1,202007,18-24,87934,40대,M,자영업,무직,6000-8000,3,0.2181,3,0.9148,1,0.5593,4,0.6909,1,0.8028,5,0.7361,5,0.5773,2,0.5934,2,0.5949,3,0.3621,4,0.7408,2,0.2661,5,0.8784,1,0.6766,4,0.242,3,0.4867,4,3,1,1,1,2,3,3,2,5,5,3,2,4,2,5,3,N,경기,시군구2,행정동5,상권유형B,Wednesday,N,484,4,110720,5,P49073,음료,18832,3,200,생활,220,의류,122,초콜릿
2,202103,12-18,7144,60대,M,은퇴,생산직,6000-8000,1,0.6629,3,0.327,3,0.8977,5,0.6365,2,0.041,3,0.0804,5,0.7111,2,0.9569,5,0.126,1,0.7936,5,0.9958,2,0.411,3,0.0343,4,0.5177,5,0.9798,3,0.0507,1,4,4,2,3,5,3,1,4,1,3,3,4,1,4,5,3,N,울산,시군구2,행정동5,상권유형C,Wednesday,N,202,16,122060,1,P22536,도시락,44521,1,300,서비스,120,스낵,111,콜라
3,202101,12-18,40354,30대,F,자영업,무직,2000-4000,4,0.7669,1,0.5793,3,0.2781,1,0.6311,4,0.8793,4,0.2427,4,0.6771,5,0.4166,4,0.1917,2,0.7127,1,0.041,5,0.6911,5,0.2622,2,0.827,4,0.1135,3,0.4561,2,2,1,4,1,5,1,2,4,3,5,3,4,2,2,2,3,N,대구,시군구5,행정동5,상권유형C,Monday,N,493,6,165772,7,P54034,생필품,2784,4,300,서비스,220,의류,121,과자
4,202011,18-24,46367,30대,F,직장인,전문의,2000-4000,3,0.1666,1,0.8775,4,0.026,2,0.2067,1,0.9686,2,0.8859,2,0.242,1,0.9962,1,0.9567,4,0.1177,1,0.2449,4,0.7851,2,0.1189,3,0.9813,5,0.7577,2,0.8004,4,5,4,3,2,4,5,3,5,2,2,5,5,1,5,1,3,N,제주,시군구5,행정동4,상권유형B,Monday,N,335,47,105925,9,P95320,스낵,15698,1,100,식음료,210,주택,122,초콜릿
5,202011,00-06,79990,50대,F,직장인,생산직,8000+,4,0.0439,3,0.773,3,0.7757,1,0.5793,5,0.7422,5,0.5769,4,0.0392,1,0.1764,5,0.508,4,0.6657,4,0.5977,5,0.3696,2,0.098,5,0.3781,2,0.6374,2,0.5915,5,1,1,1,3,1,4,3,1,4,1,5,5,3,5,2,4,Y,울산,시군구3,행정동2,상권유형B,Tuesday,N,367,8,152603,6,P71736,간식,38158,2,300,서비스,120,스낵,211,의류
6,202104,18-24,13773,30대,F,취업준비,사무직,8000+,4,0.4396,3,0.0407,1,0.7024,3,0.6255,1,0.1199,1,0.0466,3,0.8327,2,0.7961,1,0.1914,5,0.6647,3,0.4152,4,0.105,1,0.9456,1,0.912,3,0.195,2,0.9207,4,2,4,5,4,5,3,2,5,4,3,2,1,2,1,3,1,N,대구,시군구1,행정동2,상권유형B,Monday,N,275,23,152734,9,P73502,음료,12557,2,100,식음료,110,음료,122,초콜릿
7,202007,18-24,43971,40대,M,취업준비,전문의,4000-6000,4,0.774,3,0.9428,2,0.5455,3,0.5704,4,0.8074,2,0.7043,5,0.8723,4,0.9281,2,0.7976,4,0.7519,4,0.6376,3,0.3533,4,0.8056,3,0.7772,4,0.9353,1,0.7165,4,2,1,1,3,5,4,4,3,1,2,1,5,5,3,2,3,N,경북,시군구4,행정동5,상권유형C,Sunday,Y,346,48,131750,2,P61187,스낵,10342,1,200,생활,220,의류,111,콜라
8,202102,12-18,16080,30대,F,자영업,전문의,2000-4000,3,0.6508,1,0.0466,3,0.8153,1,0.1862,4,0.6475,5,0.5067,2,0.9789,5,0.6881,4,0.4706,2,0.3163,5,0.5864,4,0.6305,4,0.3647,1,0.1491,5,0.2014,2,0.7776,4,1,3,1,2,3,3,5,4,3,4,4,2,4,5,1,3,N,제주,시군구5,행정동2,상권유형A,Monday,N,468,69,110454,5,P42514,도시락,36649,3,100,식음료,110,음료,112,사이다
9,202008,12-18,78975,20대,F,학생,무직,2000-4000,1,0.7019,3,0.5888,5,0.8401,4,0.7231,5,0.3388,3,0.8545,1,0.9597,3,0.1093,3,0.6384,4,0.4013,1,0.788,4,0.7598,2,0.6873,3,0.8359,1,0.5156,5,0.4584,2,3,4,2,5,2,3,3,4,2,2,1,5,5,5,3,2,N,인천,시군구3,행정동4,상권유형B,Wednesday,N,295,3,171306,7,P52099,생필품,44656,1,200,생활,310,헬스,121,과자
10,202007,12-18,63595,40대,M,학생,자영업자,4000-6000,1,0.4028,1,0.5754,3,0.5879,1,0.0732,4,0.884,1,0.6824,1,0.6338,3,0.3265,3,0.2975,5,0.96,5,0.0709,4,0.8797,2,0.9194,2,0.4815,3,0.7905,1,0.1734,1,5,1,1,2,4,1,4,3,5,4,3,5,3,2,3,3,N,충북,시군구1,행정동4,상권유형C,Sunday,N,269,71,141524,4,P47411,간식,9632,1,100,식음료,110,음료,111,콜라
