셀번호,X좌표,Y좌표,행정동코드,일자,시간대,소계(남녀합계)
C0101,297.4737653380347,62.994315997839614,0101,2022-11-01,9,126
C0102,478.35325823189396,254.00543001044883,0102,2022-11-01,9,136
C0103,95.72110969673803,398.7873770470042,0103,2022-11-01,9,388
C0101,319.20604163634687,148.75076681928945,0101,2022-11-01,18,261
C0102,28.952049128140256,82.47211178202213,0102,2022-11-01,18,415
C0103,311.7942179141077,415.5425992872028,0103,2022-11-01,18,487
C0101,10.759778961909605,382.7312505771836,0101,2022-11-02,9,466
C0102,332.65393843559866,179.1025201703874,0102,2022-11-02,9,268
C0103,310.43441340944514,17.809883893878997,0103,2022-11-02,9,235
C0101,399.4182049525739,62.2326339002201,0101,2022-11-02,18,70
C0102,6.99196729306828,456.22824481832663,0102,2022-11-02,18,64
C0103,291.19108164821915,419.4584852692524,0103,2022-11-02,18,169
C0101,372.95353971271436,23.313910405466654,0101,2022-11-03,9,465
C0102,270.8989335477198,175.04008910523106,0102,2022-11-03,9,302
C0103,376.78149068417576,482.0028289877598,0103,2022-11-03,9,78
C0101,72.61200187218108,367.36800973043455,0101,2022-11-03,18,116
C0102,227.2082050831391,397.609465289858,0102,2022-11-03,18,334
C0103,19.92877207110505,348.96703742582054,0103,2022-11-03,18,113
C0101,497.35552647705515,47.399105147850285,0101,2022-11-04,9,447
C0102,192.64487038670737,8.394772646553584,0102,2022-11-04,9,438
C0103,255.01089648560537,139.42710356240994,0103,2022-11-04,9,397
C0101,143.91531121754596,240.85006171652307,0101,2022-11-04,18,362
C0102,100.28262567209461,414.0508790217802,0102,2022-11-04,18,235
C0103,201.66787710823192,224.44001628399124,0103,2022-11-04,18,466
C0101,491.341836605766,71.0577383623317,0101,2022-11-05,9,82
C0102,283.6393029251206,440.36721045209396,0102,2022-11-05,9,413
C0103,146.21427241345597,148.07898311017163,0103,2022-11-05,9,177
C0101,8.315541161477702,84.94644953902913,0101,2022-11-05,18,196
C0102,497.29332055991256,124.47428689196627,0102,2022-11-05,18,280
C0103,139.27015701924782,204.19508399229335,0103,2022-11-05,18,58
C0101,273.8936396411918,34.28300993271321,0101,2022-11-06,9,475
C0102,412.7506340985288,106.58028943585069,0102,2022-11-06,9,405
C0103,399.20909411748926,180.7134537206283,0103,2022-11-06,9,324
C0101,468.19412715700827,445.9521954800086,0101,2022-11-06,18,240
C0102,187.55535659524452,244.0551528613013,0102,2022-11-06,18,107
C0103,257.71712917433086,340.95395141747156,0103,2022-11-06,18,178
C0101,46.333848637815755,459.92056308784487,0101,2022-11-07,9,107
C0102,48.376341580786075,434.49449598942124,0102,2022-11-07,9,373
C0103,371.8414331214161,156.5634084163744,0103,2022-11-07,9,181
C0101,430.065329594833,484.06281154513937,0101,2022-11-07,18,284
C0102,140.5386979738162,325.27909116366226,0102,2022-11-07,18,65
C0103,494.0834244214725,35.35924432315607,0103,2022-11-07,18,437
C0101,251.8109829104142,436.832880919741,0101,2022-11-08,9,312
C0102,218.61760980272155,292.0993620598164,0102,2022-11-08,9,51
C0103,263.24515427830715,366.3863431671241,0103,2022-11-08,9,334
C0101,392.70836179292155,141.58526806674172,0101,2022-11-08,18,79
C0102,412.1146932619778,209.74396338962947,0102,2022-11-08,18,132
C0103,481.9573828356907,390.2746452485234,0103,2022-11-08,18,69
C0101,173.90801614117467,135.01368410918158,0101,2022-11-09,9,150
C0102,493.6473014119556,145.08341208987386,0102,2022-11-09,9,315
C0103,474.13555837307644,165.1935598092945,0103,2022-11-09,9,486
C0101,190.8671788960199,42.52611200432438,0101,2022-11-09,18,366
C0102,468.09468280664447,81.96399735829796,0102,2022-11-09,18,436
C0103,51.65341296442749,133.4737224782494,0103,2022-11-09,18,475
C0101,460.46174934727776,329.27043145378656,0101,2022-11-10,9,83
C0102,296.04665572764077,90.19560401777699,0102,2022-11-10,9,135
C0103,437.2210338351709,24.914303669261283,0103,2022-11-10,9,97
C0101,31.736512914731286,347.5113755338126,0101,2022-11-10,18,288
C0102,467.8986175968337,415.53322483582673,0102,2022-11-10,18,69
C0103,118.45245273987959,60.51374619344152,0103,2022-11-10,18,217
C0101,436.8119936912665,40.554564523706205,0101,2022-11-11,9,318
C0102,183.63373474835348,497.8891591854821,0102,2022-11-11,9,332
C0103,254.4116567591725,274.3954748517055,0103,2022-11-11,9,51
C0101,484.81845162541134,291.8182305472698,0101,2022-11-11,18,463
C0102,398.091037371175,317.3833745542232,0102,2022-11-11,18,116
C0103,28.657678637348415,358.8719367708917,0103,2022-11-11,18,242
C0101,350.13138618032457,58.351153344362636,0101,2022-11-12,9,394
C0102,366.06409343735277,74.8559887972699,0102,2022-11-12,9,153
C0103,345.4675172163684,358.98859560243875,0103,2022-11-12,9,277
C0101,129.09092488971353,186.51970555180657,0101,2022-11-12,18,209
C0102,179.598310696447,303.5099028522912,0102,2022-11-12,18,264
C0103,430.8763174251819,14.996142001057034,0103,2022-11-12,18,384
C0101,363.2757786846847,157.09300914458012,0101,2022-11-13,9,73
C0102,37.85847987050561,275.5872550865333,0102,2022-11-13,9,427
C0103,274.3367948770067,163.25573108761415,0103,2022-11-13,9,376
C0101,53.46157558434378,68.19861676746115,0101,2022-11-13,18,486
C0102,322.1297990941376,257.14961232182657,0102,2022-11-13,18,499
C0103,152.13589822872092,78.51165435440966,0103,2022-11-13,18,169
C0101,433.88206945593663,284.7594365698452,0101,2022-11-14,9,279
C0102,196.7103788546714,453.34252715244156,0102,2022-11-14,9,160
C0103,443.42058082653153,34.55334555660389,0103,2022-11-14,9,149
C0101,76.4855854848619,105.44168277412858,0101,2022-11-14,18,344
C0102,432.10379612320816,447.595158737979,0102,2022-11-14,18,233
C0103,436.9616647393468,364.2467764216123,0103,2022-11-14,18,87
C0101,387.85518163334956,395.90766382290525,0101,2022-11-15,9,300
C0102,473.4538214941008,100.17980199029763,0102,2022-11-15,9,278
C0103,252.4825537587715,159.2762899442023,0103,2022-11-15,9,70
C0101,41.35035606438869,216.83924346213396,0101,2022-11-15,18,420
C0102,386.73882812266476,156.17045577886972,0102,2022-11-15,18,232
C0103,131.27457739744807,356.79505370327263,0103,2022-11-15,18,158
C0101,143.39133791941543,201.34177273148995,0101,2022-11-16,9,59
