구매일자,시군구,업종명_중분류,업종명_소분류,메뉴명_소분류,판매수량,단가,광역시도,행정동코드,결제금액
2022-12-03 11:00:00,마포구,중식,스테이크,필렛스테이크,4,17694,서울특별시,0105,70776
2023-08-09 18:00:00,강남구,분식,떡볶이,필렛스테이크,2,16386,서울특별시,0101,32772
2023-06-27 06:00:00,종로구,한식,스테이크,냉면,5,6811,서울특별시,0102,34055
2023-04-09 18:00:00,영등포구,일식,초밥,냉면,6,7971,서울특별시,0103,47826
2023-04-07 15:00:00,성동구,분식,초밥,떡볶이,3,19882,서울특별시,0104,59646
2023-09-09 13:00:00,강남구,분식,국수,떡볶이,7,19229,서울특별시,0101,134603
2022-12-02 06:00:00,영등포구,중식,국수,연어초밥,6,18872,서울특별시,0103,113232
2023-07-12 20:00:00,강남구,양식,스테이크,냉면,2,8910,서울특별시,0101,17820
2023-01-13 08:00:00,성동구,한식,고기구이,냉면,9,17748,서울특별시,0104,159732
2022-12-05 06:00:00,성동구,한식,고기구이,연어초밥,1,6523,서울특별시,0104,6523
2023-05-11 15:00:00,영등포구,중식,국수,연어초밥,6,8603,서울특별시,0103,51618
2023-10-22 04:00:00,종로구,분식,스테이크,불고기,4,17466,서울특별시,0102,69864
2023-07-26 20:00:00,강남구,양식,스테이크,불고기,6,20423,서울특별시,0101,122538
2023-08-05 02:00:00,마포구,일식,초밥,연어초밥,7,21384,서울특별시,0105,149688
2023-07-20 04:00:00,성동구,중식,초밥,필렛스테이크,7,29548,서울특별시,0104,206836
2023-08-14 03:00:00,종로구,한식,고기구이,불고기,6,26353,서울특별시,0102,158118
2023-05-06 20:00:00,영등포구,중식,국수,연어초밥,8,14494,서울특별시,0103,115952
2022-12-17 15:00:00,성동구,한식,고기구이,불고기,7,24570,서울특별시,0104,171990
2023-09-02 16:00:00,성동구,한식,스테이크,냉면,8,7391,서울특별시,0104,59128
2023-04-13 23:00:00,영등포구,양식,스테이크,필렛스테이크,4,26431,서울특별시,0103,105724
2023-05-02 03:00:00,종로구,한식,국수,냉면,2,14666,서울특별시,0102,29332
2023-03-15 23:00:00,성동구,한식,국수,냉면,3,24001,서울특별시,0104,72003
2023-01-06 10:00:00,성동구,일식,국수,떡볶이,6,29265,서울특별시,0104,175590
2023-10-04 09:00:00,영등포구,중식,떡볶이,불고기,5,22580,서울특별시,0103,112900
2023-08-12 12:00:00,강남구,일식,초밥,불고기,1,28006,서울특별시,0101,28006
2023-06-23 09:00:00,영등포구,한식,스테이크,떡볶이,2,5253,서울특별시,0103,10506
2023-03-27 11:00:00,성동구,중식,초밥,연어초밥,9,9263,서울특별시,0104,83367
2023-08-27 12:00:00,마포구,일식,스테이크,불고기,7,20652,서울특별시,0105,144564
2023-05-18 13:00:00,영등포구,양식,초밥,연어초밥,7,18514,서울특별시,0103,129598
2023-04-11 10:00:00,종로구,일식,국수,연어초밥,2,8012,서울특별시,0102,16024
2023-04-13 23:00:00,영등포구,일식,떡볶이,냉면,1,22959,서울특별시,0103,22959
2023-01-22 17:00:00,강남구,일식,스테이크,연어초밥,3,6466,서울특별시,0101,19398
2022-12-04 12:00:00,강남구,중식,스테이크,필렛스테이크,8,29769,서울특별시,0101,238152
2023-05-21 21:00:00,성동구,중식,떡볶이,냉면,5,8910,서울특별시,0104,44550
2023-09-20 05:00:00,마포구,일식,국수,떡볶이,8,16136,서울특별시,0105,129088
2022-11-24 05:00:00,마포구,한식,고기구이,연어초밥,5,25582,서울특별시,0105,127910
2023-09-09 10:00:00,영등포구,양식,초밥,떡볶이,5,17851,서울특별시,0103,89255
2023-08-29 07:00:00,강남구,양식,국수,불고기,6,23596,서울특별시,0101,141576
2023-02-09 18:00:00,마포구,중식,초밥,냉면,9,22591,서울특별시,0105,203319
2023-06-18 22:00:00,영등포구,중식,국수,필렛스테이크,4,28719,서울특별시,0103,114876
2022-12-31 03:00:00,종로구,중식,국수,떡볶이,6,16598,서울특별시,0102,99588
2023-08-03 23:00:00,마포구,양식,국수,냉면,9,29474,서울특별시,0105,265266
2023-07-14 00:00:00,성동구,양식,국수,떡볶이,4,17919,서울특별시,0104,71676
2023-03-10 01:00:00,성동구,한식,스테이크,불고기,8,27332,서울특별시,0104,218656
2022-11-25 17:00:00,종로구,일식,초밥,연어초밥,5,23316,서울특별시,0102,116580
2023-10-20 08:00:00,마포구,한식,초밥,냉면,8,8323,서울특별시,0105,66584
2023-04-12 05:00:00,영등포구,일식,고기구이,연어초밥,5,21090,서울특별시,0103,105450
2023-09-22 03:00:00,영등포구,중식,초밥,떡볶이,6,26959,서울특별시,0103,161754
2023-07-05 18:00:00,성동구,중식,고기구이,필렛스테이크,3,8209,서울특별시,0104,24627
2023-08-11 08:00:00,성동구,일식,국수,필렛스테이크,6,25965,서울특별시,0104,155790
2023-08-04 15:00:00,강남구,중식,초밥,냉면,3,7635,서울특별시,0101,22905
2023-01-10 20:00:00,종로구,중식,고기구이,떡볶이,6,26777,서울특별시,0102,160662
2023-03-13 11:00:00,종로구,양식,국수,연어초밥,8,24722,서울특별시,0102,197776
2023-04-19 21:00:00,마포구,분식,국수,필렛스테이크,4,8792,서울특별시,0105,35168
2023-05-01 05:00:00,성동구,한식,떡볶이,필렛스테이크,4,23161,서울특별시,0104,92644
2022-11-16 22:00:00,종로구,중식,떡볶이,필렛스테이크,3,7919,서울특별시,0102,23757
2023-05-18 23:00:00,성동구,분식,고기구이,필렛스테이크,7,19200,서울특별시,0104,134400
2022-12-27 04:00:00,성동구,일식,스테이크,연어초밥,6,28095,서울특별시,0104,168570
2023-07-29 14:00:00,종로구,중식,스테이크,필렛스테이크,5,10149,서울특별시,0102,50745
2023-07-07 15:00:00,영등포구,일식,국수,떡볶이,1,9345,서울특별시,0103,9345
2023-10-02 20:00:00,마포구,한식,초밥,냉면,1,15572,서울특별시,0105,15572
2023-07-30 02:00:00,영등포구,한식,스테이크,연어초밥,1,14215,서울특별시,0103,14215
